currTime,acc1,acc2,Roll,Pitch,Yaw
357,299,326,-3.96,0.78,-0.08
357,299,326,-3.96,0.78,-0.08
358,299,326,-3.96,0.78,-0.08
358,299,326,-3.96,0.78,-0.08
359,299,326,-3.96,0.78,-0.08
359,299,326,-3.96,0.78,-0.08
367,299,326,-3.96,0.78,-0.08
368,299,326,-3.96,0.78,-0.08
368,299,326,-3.96,0.78,-0.08
369,299,326,-3.96,0.78,-0.08
369,299,326,-3.96,0.78,-0.08
370,299,326,-3.96,0.78,-0.08
370,299,326,-3.96,0.78,-0.08
371,299,326,-3.96,0.78,-0.08
371,299,326,-3.96,0.78,-0.08
372,299,326,-3.96,0.78,-0.08
372,299,326,-3.96,0.78,-0.08
373,299,326,-3.96,0.78,-0.08
380,299,326,-3.96,0.78,-0.08
380,299,326,-3.96,0.78,-0.08
381,299,326,-3.96,0.78,-0.08
381,299,326,-3.96,0.78,-0.08
382,299,326,-3.96,0.78,-0.08
383,299,326,-3.96,0.78,-0.08
383,299,326,-3.96,0.78,-0.08
384,299,326,-3.96,0.78,-0.08
384,299,326,-3.96,0.78,-0.08
385,299,326,-3.96,0.78,-0.08
385,299,326,-3.96,0.78,-0.08
386,299,326,-3.96,0.78,-0.08
386,299,326,-3.96,0.78,-0.08
392,299,326,-3.96,0.78,-0.08
393,299,326,-3.96,0.78,-0.08
394,299,326,-3.96,0.78,-0.08
394,299,326,-3.96,0.78,-0.08
395,299,326,-3.96,0.78,-0.08
395,299,326,-3.96,0.78,-0.08
396,299,326,-3.96,0.78,-0.08
396,299,326,-3.96,0.78,-0.08
397,299,326,-3.96,0.78,-0.08
397,299,326,-3.96,0.78,-0.08
398,299,326,-3.96,0.78,-0.08
398,299,326,-3.96,0.78,-0.08
399,299,326,-3.96,0.78,-0.08
404,299,326,-3.96,0.78,-0.08
405,299,326,-3.96,0.78,-0.08
405,299,326,-3.96,0.78,-0.08
406,299,326,-3.96,0.78,-0.08
406,299,326,-3.96,0.78,-0.08
407,299,326,-3.96,0.78,-0.08
408,299,326,-3.96,0.78,-0.08
408,299,326,-3.96,0.78,-0.08
409,299,326,-3.96,0.78,-0.08
409,299,326,-3.96,0.78,-0.08
410,299,326,-3.96,0.78,-0.08
410,299,326,-3.96,0.78,-0.08
411,299,326,-3.96,0.78,-0.08
416,299,326,-3.96,0.78,-0.08
416,299,326,-3.96,0.78,-0.08
417,299,326,-3.96,0.78,-0.08
418,299,326,-3.96,0.78,-0.08
418,299,326,-3.96,0.78,-0.08
419,299,326,-3.96,0.78,-0.08
419,299,326,-3.96,0.78,-0.08
420,299,326,-3.96,0.78,-0.08
420,299,326,-3.96,0.78,-0.08
421,299,326,-3.96,0.78,-0.08
421,299,326,-3.96,0.78,-0.08
422,299,326,-3.96,0.78,-0.08
422,299,326,-3.96,0.78,-0.08
428,299,326,-3.96,0.78,-0.08
428,299,326,-3.96,0.78,-0.08
429,299,326,-3.96,0.78,-0.08
429,299,326,-3.96,0.78,-0.08
430,299,326,-3.96,0.78,-0.08
430,299,326,-3.96,0.78,-0.08
431,299,326,-3.96,0.78,-0.08
431,299,326,-3.96,0.78,-0.08
432,299,326,-3.96,0.78,-0.08
432,299,326,-3.96,0.78,-0.08
433,299,326,-3.96,0.78,-0.08
433,299,326,-3.96,0.78,-0.08
439,299,326,-3.96,0.78,-0.08
439,299,326,-3.96,0.78,-0.08
440,299,326,-3.96,0.78,-0.08
440,299,326,-3.96,0.78,-0.08
441,299,326,-3.96,0.78,-0.08
441,299,326,-3.96,0.78,-0.08
442,299,326,-3.96,0.78,-0.08
442,299,326,-3.96,0.78,-0.08
443,299,326,-3.96,0.78,-0.08
443,299,326,-3.96,0.78,-0.08
444,299,326,-3.96,0.78,-0.08
445,299,326,-3.96,0.78,-0.08
445,299,326,-3.96,0.78,-0.08
450,299,326,-3.96,0.78,-0.08
451,299,326,-3.96,0.78,-0.08
451,299,326,-3.96,0.78,-0.08
452,299,326,-3.96,0.78,-0.08
452,299,326,-3.96,0.78,-0.08
453,299,326,-3.96,0.78,-0.08
453,299,326,-3.96,0.78,-0.08
454,299,326,-3.96,0.78,-0.08
455,299,326,-3.96,0.78,-0.08
455,299,326,-3.96,0.78,-0.08
456,299,326,-3.96,0.78,-0.08
456,299,326,-3.96,0.78,-0.08
457,299,326,-3.96,0.78,-0.08
462,299,326,-3.96,0.78,-0.08
462,299,326,-3.96,0.78,-0.08
463,299,326,-3.96,0.78,-0.08
463,299,326,-3.96,0.78,-0.08
464,299,326,-3.96,0.78,-0.08
465,299,326,-3.96,0.78,-0.08
465,299,326,-3.96,0.78,-0.08
466,299,326,-3.96,0.78,-0.08
466,299,326,-3.96,0.78,-0.08
467,299,326,-3.96,0.78,-0.08
467,299,326,-3.96,0.78,-0.08
468,299,326,-3.96,0.78,-0.08
468,299,326,-3.96,0.78,-0.08
473,299,326,-3.96,0.78,-0.08
474,299,326,-3.96,0.78,-0.08
474,299,326,-3.96,0.78,-0.08
475,299,326,-3.96,0.78,-0.08
475,299,326,-3.96,0.78,-0.08
476,299,326,-3.96,0.78,-0.08
477,299,326,-3.96,0.78,-0.08
477,299,326,-3.96,0.78,-0.08
478,299,326,-3.96,0.78,-0.08
478,299,326,-3.96,0.78,-0.08
479,299,326,-3.96,0.78,-0.08
479,299,326,-3.96,0.78,-0.08
480,299,326,-3.96,0.78,-0.08
485,299,326,-3.96,0.78,-0.08
485,299,326,-3.96,0.78,-0.08
486,299,326,-3.96,0.78,-0.08
486,299,326,-3.96,0.78,-0.08
487,299,326,-3.96,0.78,-0.08
488,299,326,-3.96,0.78,-0.08
488,299,326,-3.96,0.78,-0.08
489,299,326,-3.96,0.78,-0.08
489,299,326,-3.96,0.78,-0.08
490,299,326,-3.96,0.78,-0.08
490,299,326,-3.96,0.78,-0.08
491,299,326,-3.96,0.78,-0.08
496,299,326,-3.96,0.78,-0.08
496,299,326,-3.96,0.78,-0.08
497,299,326,-3.96,0.78,-0.08
498,299,326,-3.96,0.78,-0.08
498,299,326,-3.96,0.78,-0.08
499,299,326,-3.96,0.78,-0.08
499,299,326,-3.96,0.78,-0.08
500,299,326,-3.96,0.78,-0.08
500,299,326,-3.96,0.78,-0.08
501,299,326,-3.96,0.78,-0.08
501,299,326,-3.96,0.78,-0.08
502,299,326,-3.96,0.78,-0.08
502,299,334,-3.32,4.88,-0.18
508,319,334,-5.97,1.13,-0.12
509,319,334,-5.97,1.13,-0.12
510,319,334,-5.97,1.13,-0.12
510,319,334,-5.97,1.13,-0.12
511,319,334,-5.97,1.13,-0.12
511,319,334,-5.97,1.13,-0.12
512,319,334,-5.97,1.13,-0.12
512,319,334,-5.97,1.13,-0.12
513,319,334,-5.97,1.13,-0.12
514,319,334,-5.97,1.13,-0.12
514,319,334,-5.97,1.13,-0.12
515,319,334,-5.97,1.13,-0.12
515,319,334,-5.97,1.13,-0.12
520,319,334,-5.97,1.13,-0.12
521,319,334,-5.97,1.13,-0.12
521,319,334,-5.97,1.13,-0.12
522,319,334,-5.97,1.13,-0.12
522,319,334,-5.97,1.13,-0.12
523,319,334,-5.97,1.13,-0.12
524,319,334,-5.97,1.13,-0.12
524,319,334,-5.97,1.13,-0.12
525,319,334,-5.97,1.13,-0.12
525,319,334,-5.97,1.13,-0.12
526,319,334,-5.97,1.13,-0.12
526,319,334,-5.97,1.13,-0.12
527,319,334,-5.97,1.13,-0.12
532,319,334,-5.97,1.13,-0.12
532,319,334,-5.97,1.13,-0.12
533,319,334,-5.97,1.13,-0.12
534,319,334,-5.97,1.13,-0.12
534,319,334,-5.97,1.13,-0.12
535,319,334,-5.97,1.13,-0.12
535,319,334,-5.97,1.13,-0.12
536,319,334,-5.97,1.13,-0.12
536,319,334,-5.97,1.13,-0.12
537,319,334,-5.97,1.13,-0.12
537,319,334,-5.97,1.13,-0.12
538,319,334,-5.97,1.13,-0.12
538,319,334,-5.97,1.13,-0.12
544,319,334,-5.97,1.13,-0.12
544,319,334,-5.97,1.13,-0.12
545,319,334,-5.97,1.13,-0.12
545,319,334,-5.97,1.13,-0.12
546,319,334,-5.97,1.13,-0.12
546,319,334,-5.97,1.13,-0.12
547,319,334,-5.97,1.13,-0.12
547,319,334,-5.97,1.13,-0.12
548,319,334,-5.97,1.13,-0.12
548,319,334,-5.97,1.13,-0.12
549,319,334,-5.97,1.13,-0.12
550,319,334,-5.97,1.13,-0.12
555,319,334,-5.97,1.13,-0.12
555,319,334,-5.97,1.13,-0.12
556,319,334,-5.97,1.13,-0.12
556,319,334,-5.97,1.13,-0.12
557,319,334,-5.97,1.13,-0.12
557,319,334,-5.97,1.13,-0.12
558,319,334,-5.97,1.13,-0.12
558,319,334,-5.97,1.13,-0.12
559,319,334,-5.97,1.13,-0.12
559,319,334,-5.97,1.13,-0.12
560,319,334,-5.97,1.13,-0.12
561,319,334,-5.97,1.13,-0.12
561,319,334,-5.97,1.13,-0.12
566,319,334,-5.97,1.13,-0.12
567,319,334,-5.97,1.13,-0.12
567,319,334,-5.97,1.13,-0.12
568,319,334,-5.97,1.13,-0.12
568,319,334,-5.97,1.13,-0.12
569,319,334,-5.97,1.13,-0.12
569,319,334,-5.97,1.13,-0.12
570,319,334,-5.97,1.13,-0.12
570,319,334,-5.97,1.13,-0.12
571,319,334,-5.97,1.13,-0.12
572,319,334,-5.97,1.13,-0.12
572,319,334,-5.97,1.13,-0.12
573,319,334,-5.97,1.13,-0.12
578,319,334,-5.97,1.13,-0.12
578,319,334,-5.97,1.13,-0.12
579,319,334,-5.97,1.13,-0.12
579,319,334,-5.97,1.13,-0.12
580,319,334,-5.97,1.13,-0.12
580,319,334,-5.97,1.13,-0.12
581,319,334,-5.97,1.13,-0.12
581,319,334,-5.97,1.13,-0.12
582,319,334,-5.97,1.13,-0.12
582,319,334,-5.97,1.13,-0.12
583,319,334,-5.97,1.13,-0.12
584,319,334,-5.97,1.13,-0.12
