En Angle,IMU Angle,Diffrence
57.17,64.83,-7.66
58.58,66.312,-7.732
60.7,67.3,-6.6
62.11,67.3,-5.19
63.52,67.3,-3.78
65.64,67.3,-1.66
67.76,67.3,0.46
69.17,67.3,1.87
70.58,67.644,2.936
72,69.02,2.98
72.7,69.02,3.68
73.41,69.011,4.399
74.11,69.01,5.1
75.52,69.01,6.51
76.23,69.01,7.22
76.94,69.07,7.87
77.64,70.21,7.43
78.35,70.21,8.14
78.35,70.1875,8.1625
78.35,70.18,8.17
79.05,70.18,8.87
79.05,70.18,8.87
79.76,70.18,9.58
80.47,70.7585,9.7115
80.47,71.07,9.4
81.17,71.0875,10.0825
80.47,71.12,9.35
80.47,71.12,9.35
80.47,71.12,9.35
80.47,71.12,9.35
79.76,71.4665,8.2935
79.76,71.75,8.01
79.76,71.738,8.022
79.76,71.73,8.03
79.76,71.73,8.03
79.76,71.73,8.03
79.76,71.73,8.03
79.76,72.055,7.705
79.76,72.23,7.53
79.76,72.246,7.514
79.76,72.27,7.49
79.76,72.27,7.49
79.76,72.27,7.49
79.76,72.27,7.49
79.76,72.3625,7.3975
79.76,72.64,7.12
79.76,72.64,7.12
79.76,72.64,7.12
79.76,72.64,7.12
79.76,72.64,7.12
79.76,72.64,7.12
79.76,72.64,7.12
79.76,72.925,6.835
79.76,72.94,6.82
79.76,72.9175,6.8425
79.76,72.91,6.85
79.76,72.91,6.85
79.76,72.91,6.85
79.76,72.91,6.85
79.76,73.085,6.675
79.76,73.16,6.6
79.76,73.151,6.609
79.76,73.14,6.62
79.76,73.14,6.62
79.76,73.14,6.62
79.76,73.14,6.62
79.76,73.235,6.525
79.76,73.33,6.43
79.76,73.327,6.433
79.76,73.32,6.44
79.76,73.32,6.44
79.76,73.32,6.44
79.76,73.32,6.44
79.76,73.44,6.32
79.76,73.47,6.29
79.76,73.4775,6.2825
79.76,73.48,6.28
79.76,73.48,6.28
79.76,73.48,6.28
79.76,73.48,6.28
79.76,73.536,6.224
79.76,73.62,6.14
79.76,73.615,6.145
79.76,73.61,6.15
79.76,73.61,6.15
79.76,73.61,6.15
79.76,73.61,6.15
79.76,73.66,6.1
79.76,73.86,5.9
79.76,73.86,5.9
79.76,73.86,5.9
79.76,73.86,5.9
79.76,73.86,5.9
79.76,73.86,5.9
79.76,73.86,5.9
79.76,73.924,5.836
79.76,73.94,5.82
79.76,73.94,5.82
79.76,73.94,5.82
79.76,73.94,5.82
79.76,73.94,5.82
79.76,73.94,5.82
79.76,73.955,5.805
79.76,73.99,5.77
79.76,74.005,5.755
79.76,74.02,5.74
79.76,74.02,5.74
79.76,74.02,5.74
79.76,74.02,5.74
79.76,74.0375,5.7225
79.76,74.07,5.69
79.76,74.084,5.676
79.76,74.09,5.67
79.76,74.09,5.67
79.76,74.09,5.67
79.76,74.09,5.67
79.76,74.102,5.658
79.76,74.13,5.63
79.76,74.1235,5.6365
79.76,74.12,5.64
79.76,74.12,5.64
79.76,74.12,5.64
79.76,74.12,5.64
79.76,74.135,5.625
79.76,74.18,5.58
79.76,74.189,5.571
79.76,74.2,5.56
79.76,74.2,5.56
79.76,74.2,5.56
79.76,74.2,5.56
79.76,74.2,5.56
79.76,74.2085,5.5515
79.76,74.21,5.55
79.76,74.21,5.55
79.76,74.21,5.55
79.76,74.21,5.55
79.76,74.21,5.55
79.76,74.21,5.55
79.76,74.2205,5.5395
79.76,74.24,5.52
79.76,74.2335,5.5265
79.76,74.23,5.53
79.76,74.23,5.53
79.76,74.23,5.53
79.76,74.23,5.53
79.76,74.238,5.522
79.76,74.25,5.51
79.76,74.28,5.48
